Gaia DR3 Source ID;70 kyr;71 kyr;72 kyr;73 kyr;74 kyr;75 kyr;76 kyr;77 kyr;78 kyr;79 kyr;80 kyr;81 kyr;82 kyr;83 kyr;84 kyr;85 kyr;86 kyr;87 kyr;88 kyr;89 kyr;90 kyr;91 kyr;92 kyr;93 kyr;94 kyr;95 kyr;96 kyr;97 kyr;98 kyr;99 kyr;100 kyr;101 kyr;102 kyr;103 kyr;104 kyr;105 kyr;106 kyr;107 kyr;108 kyr;109 kyr;110 kyr;111 kyr;112 kyr;113 kyr;114 kyr;115 kyr;116 kyr;117 kyr;118 kyr;119 kyr;120 kyr;121 kyr;122 kyr;123 kyr;124 kyr;125 kyr;126 kyr;127 kyr;128 kyr;129 kyr;130 kyr;131 kyr;132 kyr;133 kyr;134 kyr
1858717401682424064;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998;0,998
1859475583664613504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001;0;0,002;0,004;0,009;0,009;0,005;0,006;0,007;0,004;0;0,001;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1859569557548216064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007;0,019;0,035;0,071;0,075;0,071;0,061;0,03;0,014;0,003;0,001;0;0,000109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1858718295035595264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1859462831894292096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000009;0,000012;0,000035;0,000072;0,000234;0,00045;0,001218;0,002183;0,004131;0,00689;0,010087;0,015246;0,021182;0,029866;0,039578;0,05285;0,06664;0,0803;0,099448;0,117725
1859461255653506176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001;0;0;0;0,001;0,003;0,002;0,001;0,005;0,003;0,006;0,005;0,007;0,004;0,002;0,001;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1859565434379577472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1858814880248240384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005;0,011;0,019;0,028;0,04;0,066;0,079;0,076;0,063;0,054;0,036;0,018;0,008;0,006;0,002;0;0;0;0;0;0;0;0;0;0;0;0
1858814880255376384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001;0,004;0,008;0,009;0,013;0,019;0,016;0,012;0,011;0,011;0,005;0,002;0,002;0;0;0;0;0;0;0;0;0;0;0
1858715786769313408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000016;0,000021;0,000027;0,000035;0,000042;0,000159;0,000236;0,00026;0,000308;0,00045;0,00054;0,00063;0,00071;0,0008;0,000955;0,001272;0,00188;0,002072;0,002248;0,0033
