Pulsar_ID,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,period_s,age_kyr,age_error_kyr,time_steps,time_label,ra_error,dec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr
RX_J1856.5-3754,284.1475,-37.91,8.16,0.8,325.9,2.3,-59.2,2.1,6.0,20.0,7.055,460.0,50,1000,kyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0833-45,128.83588,-45.17635,3.5,0.2,-49.68,0.06,29.2,0.11,0,100,2.0,11.4,2,100,centuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1727-47,262.9256,-47.7434,1.8,0.5,73,15,-132,14,0,100,0.83,50,10,100,centuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J1809-2332,272.459375,-23.539633,0.588,0.15,12.1,2.2,-24.1,4.5,0.0,100.0,0.146,68.0,5.0,100,centuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0531+21,83.6331,22.0145,0.53,0.06,-11.34,0.06,2.65,0.14,0.0,100.0,0.033,0.972,0.001,10,yrs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0248+6021,42.0775,60.35964,0.5,0.2,48,10,48,4,0.0,100.0,0.217,62.4,5.0,100,centuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J1709-4429,257.428033,-44.485622,0.3846,0.1,12.97,3.0,0.91,2.0,0.0,0.0,0.102,17.5,1.0,10,yrs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J0205+6449,31.408000,64.828556,0.3125,0.1,-1.42,0.3,1.81,0.3,0.0,0.0,0.065,5.4,0.5,10,yrs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J1809-1943,272.462862, -19.731092, 0.40,0.05,-3.79,0.05,-16.20,0.1,0.0,0.0,5.54,31.0,4.0,100,centuries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J1550-5418,237.725516, -54.306698, 0.166, 0.06,4.8,0.5,-7.9,0.3,0.0,0.0,2.06,1.41,0.5,100,kyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1800-21,270.964210416, -21.61870861, 0.26, 0.03, 11.6, 1.8, 14.8, 2.3, 0.0, 0.0, 0.133, 15.8, 2.0, 100, kyr, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0
J1124-5916,171.1625, -59.27194, 0.161, 0.02, -16.8, 5.2, -12.0, 3.2, 0.0, 0.0, 0.135, 2.0, 1.0, 100, kyr, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0
