NAME,PSRJ,PMRA,PMDEC,PX,BINARY,DIST,ASSOC,PSR,AGE,PMTOT,VTRANS
J0002+6216,J0002+6216,32.5,-13.7,0.6,*,*,"GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_J000257.6+621609[wcp+18]",HE[wcp+18],3.06e+05,35.3,*
J0006+1834,J0006+1834,*,*,*,*,*,*,*,5.24e+06,*,*
J0007+7303,J0007+7303,*,*,*,*,1.400,"GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J0007.0+7303[cdm+10],SNR:CTA1[hgc+04]",NRAD[aab+22],1.39e+04,*,*
J0011+08,J0011+08,*,*,*,*,*,*,*,*,*,*
J0012+5431,J0012+5431,*,*,*,*,*,*,RRAT[dcm+23],3.74e+08,*,*
B0011+47,J0014+4746,19.3,-19.7,*,*,*,*,*,3.48e+07,27.6,*
J0021-0909,J0021-0909,*,*,*,*,*,*,*,3.53e+07,*,*
J0023+0923,J0023+0923,-11.00,-8.80,0.55,ELL1,1.818,"GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+13],GRS:3FGL_J0023.4+0923[bbc+24]","HE,HE[bbc+24]",4.23e+09,14.09,121.43
B0021-72C,J0024-7204C,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
B0021-72D,J0024-7204D,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
B0021-72E,J0024-7204E,5.25,-2.55,0.232,DD,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,5.69e+08,5.84,125.07
B0021-72F,J0024-7204F,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,6.44e+08,5.84,125.07
B0021-72G,J0024-7204G,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
B0021-72H,J0024-7204H,5.25,-2.55,0.232,DD,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
B0021-72I,J0024-7204I,5.25,-2.55,0.232,ELL1,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
B0021-72J,J0024-7204J,5.25,-2.55,0.232,BTX,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
B0021-72L,J0024-7204L,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
B0021-72M,J0024-7204M,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
B0021-72N,J0024-7204N,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
J0024-7204O,J0024-7204O,5.25,-2.55,0.232,BTX,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,1.38e+09,5.84,125.07
J0024-7204P,J0024-7204P,5.25,-2.55,0.232,BT,4.520,GC:47Tuc(NGC104),*,8.7e+07,5.84,125.07
J0024-7204Q,J0024-7204Q,5.25,-2.55,0.232,ELL1,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[rvh+15]",*,1.88e+09,5.84,125.07
J0024-7204R,J0024-7204R,5.25,-2.55,0.232,ELL1,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,3.72e+08,5.84,125.07
J0024-7204S,J0024-7204S,5.25,-2.55,0.232,ELL1,4.520,"GC:47Tuc(NGC104),XRS:[bhc+17],OPT:[rvh+15]",*,*,5.84,125.07
J0024-7204T,J0024-7204T,5.25,-2.55,0.232,ELL1,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+15]",*,4.09e+08,5.84,125.07
J0024-7204U,J0024-7204U,5.25,-2.55,0.232,ELL1,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+15]",*,7.23e+08,5.84,125.07
J0024-7204V,J0024-7204V,5.25,-2.55,0.232,BTX,4.520,GC:47Tuc(NGC104),*,*,5.84,125.07
J0024-7204W,J0024-7204W,5.25,-2.55,0.232,BTX,4.520,"GC:47Tuc(NGC104),XRS:[bgh+06]",*,*,5.84,125.07
J0024-7204X,J0024-7204X,5.25,-2.55,0.232,ELL1,4.520,GC:47Tuc(NGC104),*,4.12e+09,5.84,125.07
J0024-7204Y,J0024-7204Y,5.25,-2.55,0.232,ELL1,4.520,"GC:47Tuc(NGC104),OPT:[cpf+15]",*,*,5.84,125.07
J0024-7204Z,J0024-7204Z,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bhc+17]",*,*,5.84,125.07
J0024-7204aa,J0024-7204aa,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bhc+17]",*,*,5.84,125.07
J0024-7204ab,J0024-7204ab,5.25,-2.55,0.232,*,4.520,"GC:47Tuc(NGC104),XRS:[bhc+17]",*,5.98e+09,5.84,125.07
J0024-7204ac,J0024-7204ac,5.25,-2.55,0.232,BT,4.520,GC:47Tuc(NGC104),*,*,5.84,125.07
J0024-7204ad,J0024-7204ad,5.25,-2.55,0.232,BT,4.520,GC:47Tuc(NGC104),*,*,5.84,125.07
J0026+6320,J0026+6320,*,*,*,*,*,*,*,3.35e+07,*,*
J0026-1955,J0026-1955,*,*,*,*,*,*,*,*,*,*
J0030+0451,J0030+0451,-6.15,0.37,3.04,*,0.329,GRS:4FGL_J0030.4+0451[aab+22],"HE[btlb00],HE[aaa+09e]",7.58e+09,6.16,9.61
J0032+6946,J0032+6946,*,*,*,*,*,*,*,*,*,*
J0033+57,J0033+57,*,*,*,*,*,*,*,*,*,*
J0033+61,J0033+61,*,*,*,*,*,*,*,*,*,*
J0034-0534,J0034-0534,7.9,-9.2,*,ELL1,*,GRS:4FGL_J0034.3-0534[aab+22],HE[aaa+10b],5.99e+09,12.1,*
B0031-07,J0034-0721,10.37,-11.13,0.93,*,1.030,*,*,3.66e+07,15.21,74.28
J0036-1033,J0036-1033,*,*,*,*,*,*,*,6.69e+07,*,*
J0038-2501,J0038-2501,*,*,*,*,*,*,*,5.36e+09,*,*
J0039+3546,J0039+3546,*,*,*,*,*,*,*,1.34e+08,*,*
B0037+56,J0040+5716,12.39,-5.40,0.11,*,*,*,*,6.15e+06,13.52,*
J0040-7326,J0040-7326,*,*,*,*,*,EXGAL:SMC,*,1.13e+06,*,*
J0040-7335,J0040-7335,*,*,*,*,*,EXGAL:SMC,*,9.65e+04,*,*
J0040-7337,J0040-7337,*,*,*,*,*,"EXGAL:SMC,SNR:DEM_S5[cls+24],PWN:DEM_S5[cab+24]",*,2.79e+04,*,*
J0043-7319,J0043-7319,*,*,*,*,*,EXGAL:SMC,*,1.59e+06,*,*
J0044-7314,J0044-7314,*,*,*,*,*,EXGAL:SMC,*,3.57e+06,*,*
J0045-7042,J0045-7042,*,*,*,*,59.700,EXGAL:SMC,*,4.02e+06,*,*
J0045-7319,J0045-7319,*,*,*,BT,59.700,EXGAL:SMC,*,3.29e+06,*,*
B0045+33,J0048+3412,*,*,*,*,*,*,*,8.19e+06,*,*
J0048-7317,J0048-7317,*,*,*,*,*,"EXGAL:SMC,PWN:[cfc+24]",*,3.81e+04,*,*
J0050+03,J0050+03,*,*,*,*,*,*,*,*,*,*
J0051+0423,J0051+0423,*,*,*,*,*,*,*,6.75e+08,*,*
J0051-7204,J0051-7204,*,*,*,*,*,EXGAL:SMC,*,2.19e+05,*,*
J0054+66,J0054+66,*,*,*,*,*,*,RRAT,3.97e+06,*,*
J0054+6650,J0054+6650,*,*,*,*,*,*,*,3.97e+06,*,*
J0054+69,J0054+69,*,*,*,*,*,*,RRAT[kkl+15],*,*,*
J0054+6946,J0054+6946,*,*,*,*,*,*,*,1.83e+07,*,*
J0054-7228,J0054-7228,*,*,*,*,*,EXGAL:SMC,*,4.82e+05,*,*
B0052+51,J0055+5117,10.47,-17.40,0.35,*,2.800,*,*,3.51e+06,20.31,269.57
B0053+47,J0056+4756,*,*,*,*,*,*,*,2.25e+06,*,*
J0057-7201,J0057-7201,*,*,*,*,*,*,*,1.17e+08,*,*
J0058+4950,J0058+4950,*,*,*,*,*,*,*,1.96e+07,*,*
J0058+6125,J0058+6125,*,*,*,*,*,*,*,*,*,*
J0058-7218,J0058-7218,*,*,*,*,59.700,"EXGAL:SMC,XRS:PWN_IKT_16[met+21],SNR:IKT_16[met+21]",NRAD[met+21],1.19e+04,*,*
J0059+6956,J0059+6956,*,*,*,*,*,*,*,1.29e+08,*,*
J0100+8023,J0100+8023,*,*,*,*,*,*,*,6.68e+07,*,*
J0100-7211,J0100-7211,*,*,*,*,59.700,"EXGAL:SMC,XRS:CXOU_J010043.1-721134,SNR:MCSNR_J0100-7211[cfc+24]","AXP,NRAD",6.76e+03,*,*
J0101-6422,J0101-6422,10.0,-12,*,BT,*,"GRS:4FGL_J0101.1-6422[aab+22],XRS:[pb15]",HE[aab+22],7.9e+09,15.6,*
J0102+4839,J0102+4839,-3.4,-2.2,*,ELL1,*,"GRS:4FGL_J0102.8+4839[aab+22],GRS:3FGL_J0102.8+4840[bbc+24]","HE[aab+22],HE[bbc+24]",4.11e+09,4.0,*
B0059+65,J0102+6537,9.24,1.77,0.40,*,2.500,*,*,4.47e+06,9.41,111.51
J0103+54,J0103+54,*,*,*,*,*,*,RRAT[kkl+15],1.08e+07,*,*
J0104+6029_P,J0104+6029_P,*,*,*,*,*,*,*,4.6e+06,*,*
J0104+64,J0104+64,*,*,*,*,*,*,*,*,*,*
J0105-7208,J0105-7208,*,*,*,*,*,EXGAL:SMC,*,2.06e+05,*,*
J0106+4855,J0106+4855,*,*,*,*,*,GRS:4FGL_J0106.4+4855[aab+22],HE[aab+22],3.08e+06,*,*
J0107+1322,J0107+1322,*,*,*,*,*,*,*,2.76e+07,*,*
B0105+65,J0108+6608,-32.75,35.15,0.47,*,2.140,*,*,1.56e+06,48.04,487.42
B0105+68,J0108+6905,*,*,*,*,*,*,*,3.53e+08,*,*
J0108-1431,J0108-1431,75,-152.5,4.2,*,0.210,*,*,1.66e+08,170,169.20
J0109+11,J0109+11,*,*,*,*,*,*,*,*,*,*
J0110-22,J0110-22,*,*,*,*,*,*,*,*,*,*
J0110-2223,J0110-2223,*,*,*,*,*,*,*,3.22e+07,*,*
J0111+6624,J0111+6624,*,*,*,*,*,*,*,8.15e+06,*,*
J0111-7131,J0111-7131,*,*,*,*,59.700,EXGAL:SMC,*,1.54e+06,*,*
J0113-7220,J0113-7220,*,*,*,*,59.700,EXGAL:SMC,*,1.06e+06,*,*
J0115+6325,J0115+6325,*,*,*,*,*,*,*,5.17e+06,*,*
B0114+58,J0117+5914,-3,18,*,*,*,"XRS:[pb15],GRS:[saa+23]",HE[saa+23],2.75e+05,18,*
J0120+1837,J0120+1837,*,*,*,*,*,*,*,1.53e+09,*,*
J0121+53,J0121+53,*,*,*,*,*,*,RRAT[gac+21],*,*,*
J0122+1416,J0122+1416,*,*,*,*,*,*,*,5.79e+06,*,*
J0125+62,J0125+62,*,*,*,*,*,*,*,*,*,*
J0125-2327,J0125-2327,37.14,10.5,0.84,ELL1,1.190,*,*,3.16e+09,38.60,217.83
J0129+36,J0129+36,*,*,*,*,*,*,*,*,*,*
J0131-7310,J0131-7310,*,*,*,*,59.700,EXGAL:SMC,*,3.13e+06,*,*
J0133-6957,J0133-6957,*,*,*,*,*,*,*,6.12e+07,*,*
J0134-2937,J0134-2937,17.0,-9,*,*,*,*,*,2.77e+07,19.2,*
J0137+1654,J0137+1654,*,*,*,*,*,*,*,5.52e+08,*,*
J0137+6349,J0137+6349,*,*,*,*,*,*,*,1.19e+07,*,*
J0139+3336,J0139+3336,*,*,*,*,*,*,RRAT[ttm18],9.53e+06,*,*
J0139+5621,J0139+5621,*,*,*,*,*,*,*,3.56e+05,*,*
B0136+57,J0139+5814,-19.11,-16.60,0.37,*,2.600,GRS:[saa+23],HE[saa+23],4.03e+05,25.31,312.02
J0139+6159_P,J0139+6159_P,*,*,*,*,*,*,*,5.47e+05,*,*
B0138+59,J0141+6009,*,*,*,*,2.300,*,*,4.95e+07,*,*
J0141+63,J0141+63,*,*,*,*,*,*,*,*,*,*
J0141+6303,J0141+6303,*,*,*,*,*,*,*,4.49e+08,*,*
J0146+31,J0146+31,*,*,*,*,*,*,*,*,*,*
J0146+6145,J0146+6145,-4.1,1.9,*,*,3.600,XRS:4U_0142+61,"AXP,NRAD",6.91e+04,4.5,77.13
B0144+59,J0147+5922,-6.39,3.80,0.47,*,1.900,*,*,1.21e+07,7.43,66.97
J0149+29,J0149+29,*,*,*,*,*,*,*,*,*,*
B0148-06,J0151-0635,10.70,-5.38,0.23,*,*,*,*,5.24e+07,11.98,*
J0152+0948,J0152+0948,*,*,*,*,*,*,*,2.56e+07,*,*
B0149-16,J0152-1637,0.8,-31.3,0.5,*,*,*,*,1.02e+07,31.3,*
J0154+1833,J0154+1833,10.3,-8.9,*,*,*,GRS:[saa+23],HE[saa+23],1.28e+10,13.6,*
J0156+04,J0156+04,*,*,*,*,*,*,RRAT[dsm+16],*,*,*
B0153+39,J0156+3949,*,*,*,*,*,*,*,1.89e+08,*,*
B0154+61,J0157+6212,1.57,44.80,0.56,*,1.820,*,*,1.97e+05,44.83,386.80
J0158+21,J0158+21,*,*,*,*,*,*,*,*,*,*
J0201+7005,J0201+7005,*,*,*,*,*,*,RRAT[kkl+15],3.88e+06,*,*
J0203-0150,J0203-0150,*,*,*,ELL1,*,*,*,5.74e+09,*,*
J0205+6449,J0205+6449,-1.40,0.54,*,*,3.200,"GRS:4FGL_J0205.7+6449[aab+22],SNR:3C58[bie06],PWN:3C58[bie06]",HE[aab+22],5.37e+03,1.50,22.76
B0203-40,J0206-4028,9,26,*,*,*,*,*,8.35e+06,28,*
J0209+4331,J0209+4331,*,*,*,*,*,*,*,2.39e+08,*,*
J0209+5759,J0209+5759,*,*,*,*,*,*,*,1.21e+06,*,*
J0210+5845,J0210+5845,-1.116,-0.495,*,*,*,*,*,1.84e+05,1.2,*
J0211+4235,J0211+4235,*,*,*,*,*,*,*,5.02e+09,*,*
J0211-8159,J0211-8159,*,*,*,*,*,*,*,7.17e+07,*,*
J0212+5222,J0212+5222,*,*,*,*,*,*,*,9.04e+05,*,*
J0212+5321,J0212+5321,-2.63,2.04,1.16,BT,0.862,GRS:3FGL_J0212.5+5320[pbhg23],HE[pbhg23],*,3.33,13.60
J0214+5222,J0214+5222,-0.5,12.4,*,BT,*,*,*,1.32e+09,12.4,*
J0215+6218,J0215+6218,*,*,*,*,*,*,*,1.31e+07,*,*
J0218+4232,J0218+4232,5.35,-3.74,0.16,ELL1,3.150,GRS:4FGL_J0218.1+4232[aab+22],"HE[khvb98],HE[aaa+09f]",4.76e+08,6.53,97.48
J0220+3626,J0220+3626,*,*,*,*,*,*,*,*,*,*
