source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr
6042134089079930112,241.90770892066342,0.053062476,-27.517064518565718,0.031941067,2.9765946527240916,0.06469505,-2.0160187156870544,0.07218172,17.55257919591028,0.0436608,,,16.770685,17.989014,15.684609,-0.25217882,-0.16850573,-0.10702895,-0.10290299,-0.038140636,0.029313903,0.55582935,-0.13068178,-0.26471418,0.048362833
6042141098466593792,241.8009156695538,0.025723126,-27.371309331219706,0.01491765,4.705247273626327,0.034783266,-1.6284127780428355,0.040575683,-34.112830139893184,0.021485418,-4.8288727,6.568016,10.699974,11.110678,10.113021,-0.28864044,0.14246131,-0.109339334,-0.23864889,-0.07235745,0.14672722,0.6696028,-0.19990945,-0.35773495,0.24773334
6042251083984251392,243.30413677139015,0.046143167,-27.777372075788218,0.025317706,6.094354053708828,0.04995883,-13.513378287816877,0.066236615,-18.30651681760634,0.043235358,-12.233308,6.916969,15.732019,17.310776,14.523954,-0.33745676,-0.0016109373,-0.28102306,0.31348118,-0.118347935,0.3472077,0.08752813,-0.19525164,-0.13583194,-0.12839654
6042261391905901440,243.42668292719412,0.038799968,-27.605317022731537,0.021607878,2.940989286562554,0.04280361,-17.419457950022412,0.05892017,-31.41956304295113,0.03864969,,,15.744923,16.797293,14.729948,-0.14177483,-0.057718754,-0.12270904,0.3169968,-0.13877583,0.32598343,0.2122654,-0.2694469,-0.13097662,0.013379723
6042271768546801152,243.14003591305692,0.07045431,-27.56800659058871,0.0402365,3.075492232457562,0.074535854,12.380168808886607,0.10421374,-8.385906997590967,0.06836196,,,16.813124,18.250565,15.65627,-0.3000907,-0.11982259,-0.14091872,0.34354427,-0.07577419,0.34622645,0.08542937,-0.06112394,-0.15747815,-0.083006606
6042435423977199872,242.7995584962566,0.050355673,-27.65335923062225,0.030848023,3.5336466133878925,0.059461866,5.194789570604733,0.07703982,-75.04841506008776,0.051871452,,,16.4613,17.77598,15.32527,-0.29243857,-0.036782756,-0.0058694603,0.14422068,0.028964791,0.1947576,0.2859534,-0.27431035,0.0019054704,0.026335828
6042447484245580160,242.31450527349307,0.0149708,-27.55119287606427,0.009264408,3.373545792907162,0.016377697,-3.124486685782463,0.024930032,-3.6313758860498986,0.016507737,-62.218433,1.2658886,12.512458,12.894206,11.949937,-0.32789594,0.12593986,0.3032041,-0.15769008,-0.10963113,-0.090408444,0.588347,0.027036844,-0.13418017,-0.15159595
6042466583959384448,242.87344089711857,0.2365256,-27.353055400767758,0.15385118,3.4952514850229868,0.2710335,-28.127661599207773,0.32853732,4.203901909496848,0.25539884,,,17.574352,18.975313,15.783955,-0.50634927,0.033594303,0.040121797,-0.22652386,-0.09349016,-0.17818828,0.48537943,0.0018362293,-0.29947266,-0.3349733
6042469508838384512,243.1915783888094,0.016711244,-27.35513123967257,0.00932606,3.827696712293542,0.01794713,-9.564497958442022,0.022063162,-9.941053295764142,0.015604486,35.90446,0.47836456,11.955774,12.548947,11.209562,-0.33901387,-0.14627801,-0.3642245,0.27267438,-0.023862908,0.23816645,-0.0052929437,-0.17616054,-0.16798212,-0.27619717
6042474761580060160,243.1327512937685,0.34249583,-27.194572396695417,0.2078854,3.0016521075828786,0.38136783,8.626800866874245,0.5498637,12.654952208033707,0.37002835,,,19.466965,21.109575,18.202435,-0.1956319,0.0048470986,-0.036173485,0.19655171,-0.09481522,0.18405683,0.25406936,-0.19374448,-0.038192865,-0.080272265
